content,date,like,place,tags
#제주#제주특별시#제주도#제주도관광#성산읍#백패킹#섬패킹#등산#산스타그램🌳#제주백패킹#백패킹성지#우도#비양도#빛내림#혜연이랑#둘이서👫#3박4일#제주여행2020년 7월 24일(금)오늘 풍랑주의보에 잡혀서 우도 못빠져나감🤣🤣🤣🤣강제 비양도 2박째ㅋㅋ내일 아침 첫배로 나가도 부산복귀 비행기 시간 못 맞춘다는😂😂내일 언제 빠져나갈수 있을지 기약이 없어ㅠ 렌트카 추가요금 내고 연장신청하고 비행기 위약금 물고 취소하고ㅠㅠ제기랄😅오늘 아침 빛내림 사진들😎,2020-07-24,565,,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#성산읍', '#백패킹', '#섬패킹', '#등산', '#산스타그램🌳', '#제주백패킹', '#백패킹성지', '#우도', '#비양도', '#빛내림', '#혜연이랑', '#둘이서👫', '#3박4일', '#제주여행2020년']"
"#제주#제주특별시#제주도#제주도관광#백패킹#섬패킹#등산#산스타그램🌳#제주백패킹#백패킹성지#우도#비양도#혜연이랑#둘이서👫#제주여행#등산#트레킹#mountain#koreamountain#hiking#hiker#amazingnature#naturetravel#outdoor#backpacking#backpacker#지난7월혜연이가 어제밤 통화중에 지난산행들 사진을 보는 중이라구 이쁜 사진이 많은데😛 왜 인스타피드 사진을 안 올린게 이렇게 많지?이사진 이쁘지 않냐구 물어본다~~🤔..""그건 사귀기 전이라 그당시에 투샷사진 혜연이가 못 올리게 해서 글차나😤""~~~~~~~~~~~~🤭🤭🤭with @k._.helen",2020-12-09,556,,"['#제주', '#제주특별시', '#제주도', '#제주도관광', '#백패킹', '#섬패킹', '#등산', '#산스타그램🌳', '#제주백패킹', '#백패킹성지', '#우도', '#비양도', '#혜연이랑', '#둘이서👫', '#제주여행', '#등산', '#트레킹', '#mountain', '#koreamountain', '#hiking', '#hiker', '#amazingnature', '#naturetravel', '#outdoor', '#backpacking', '#backpacker', '#지난7월혜연이가']"
..늦잠 자고 싶다.6개월 늦은 사진..여기도 제주다.#제주도사진찍기좋은곳 #제주도풍경 #제주도여행 #제주도카페 #제주도숙소 #제주도맛집 #제주도사진 #제주도모델 #제주도스냅 #제주도산책 #제주도관광 #제주도핫플 #제주도웨딩 #제주도가볼만한곳 #제주도도민맛집 #한라산 #제주도웨딩스냅 #제주도사진명소 #제주도 #jeju #일출 #일몰 #제주도여행코스 #제주도숨은맛집 #유채꽃 #수국 #산책,2021-08-23,112,,"['#제주도사진찍기좋은곳', '#제주도풍경', '#제주도여행', '#제주도카페', '#제주도숙소', '#제주도맛집', '#제주도사진', '#제주도모델', '#제주도스냅', '#제주도산책', '#제주도관광', '#제주도핫플', '#제주도웨딩', '#제주도가볼만한곳', '#제주도도민맛집', '#한라산', '#제주도웨딩스냅', '#제주도사진명소', '#제주도', '#jeju', '#일출', '#일몰', '#제주도여행코스', '#제주도숨은맛집', '#유채꽃', '#수국', '#산책']"
"*자구내포구(차귀도포구) / 포구차귀도 배낚시가 유명해서 배낚시를 하러 이 곳 포구를 찾는 사람들이 많아요. 배낚시뿐 아니라 오징어가 유명해서 포구로 들어서면 한쪽에 줄지어 쭉 늘어선 오징어 판매대를 보실 수 있는데, 오징어 외에도 한치와 쥐포도 구입하실 수 있고 택배도 가능해요. 할머니들이 직접 구워주시기도하는데 지금은 시국이 시국인지라 택배로 집에서 즐기시는게 좋겠지여? 일몰 맛집이기도 하고 포구 옆으로 엉알해안 산책로를 따라 수월봉까지 올레12코스가 연결되있는데 수월봉 입구쪽에는 전기자전거대여도 가능해서 걷기 힘드신분들은 자전거로 수월봉 지질트레일을 구경하실 수 있어요. 검은모래해변코스와 절부암코스까지 차로는 볼수없는 지질마을의 구석구석을 여행 해 보시는것도 좋을 것 같습니다. 저는 여기 포구에서 물고기 구경만 한시간 넘게 했다는요ㅋㅋ 주소 :  제주시 한경면 노을해안로 1161(고산리 3616-9) #자구내포구 #차귀도포구 #고산포구 #차귀도 #제주일몰 #제주바다 #제주도바다 #제주가볼만한곳 #제주관광 #제주도관광 #제주그램 #제주여행 #제주도여행 #제주살이 #제주일상 #제주도민 #제주라이프 #jejudo #jeju #jejuisland #jejutrip #제주 #제주도 #제주시 #제미녀_제주시 #한경면 #고산리 #제미녀 #제주도에미친녀자 #일상",2021-08-21,"1,260",자구내포구,"['#자구내포구', '#차귀도포구', '#고산포구', '#차귀도', '#제주일몰', '#제주바다', '#제주도바다', '#제주가볼만한곳', '#제주관광', '#제주도관광', '#제주그램', '#제주여행', '#제주도여행', '#제주살이', '#제주일상', '#제주도민', '#제주라이프', '#jejudo', '#jeju', '#jejuisland', '#jejutrip', '#제주', '#제주도', '#제주시', '#제미녀_제주시', '#한경면', '#고산리', '#제미녀', '#제주도에미친녀자', '#일상']"
💛💛💛10월의 제주도는 억새의 계절 ! 🌾사람도 없구 너무 한적하구 좋았던곳이였어요🚗다음에는 어딜 가지? ღゝ◡╹)ノ♡...📍애월어딘가#빛나투어_제주✈️,2020-10-10,619,제주도 Jeju Island,['#빛나투어_제주✈️']
"12시쯤 비가 막 쏟아지기직전, 이후 암것도 못하고밥먹고 숙소로 왔다는슬픈이야기😭😭#제주비밀의숲",2020-10-21,115,,['#제주비밀의숲']
행복은 멀지 않은 곳에 있다며남양주-제주 700km,2021-05-19,293,사계바다,[]
돌하루방도 마스크 😷#휴애리#휴애리자연생활공원#휴애리수국축제#제주도관광지#제주도관광#제주도여행#제주도#제주#제주여행#제주가볼만한곳#제주스냅#제주스냅촬영#힐링여행#여행그램.. #좋아요#좋아요테러#좋아요그램#일상그램#일상기록#데일리#데일리그램#데일리음식#데일리커피#행복한일상#소소한행복#소확행#사색즐기기 #소통해요💕#소통소통#소통해요♥,2021-05-01,132,휴애리 자연생활공원,"['#휴애리', '#휴애리자연생활공원', '#휴애리수국축제', '#제주도관광지', '#제주도관광', '#제주도여행', '#제주도', '#제주', '#제주여행', '#제주가볼만한곳', '#제주스냅', '#제주스냅촬영', '#힐링여행', '#여행그램..', '#좋아요', '#좋아요테러', '#좋아요그램', '#일상그램', '#일상기록', '#데일리', '#데일리그램', '#데일리음식', '#데일리커피', '#행복한일상', '#소소한행복', '#소확행', '#사색즐기기', '#소통해요💕', '#소통소통', '#소통해요♥']"
"👩 여보, 울어?👦 응👩 갑자기 왜 울어?👦 아니~ 이제 하나랑 신유, 둘이 없는 세상은 상상할 수도 없어👩 근데 왜 울어?👦 몰라, 그냥 눈물이 나와... 으허헝...못 만났다면 모를까...너희들을 만난 이상,너희가 없는 세상은 이제 없다_#여보미안 #여보도내맘에 #여보사랑하는거알지 #알라뷰 #제주도목장 #제주도가족스냅 #제주말목장 #제주도스냅 #가족스냅 #인생샷찍기 #인생샷명소 #인생사진찍기 #제주도여행코스 #제주도포토존 #제주도포토스팟 #제주도사진 #제주도핫플레이스 #제주도핫플 #제주도여행사진 #제주여행지 #제주도여행지 #제주도추천여행지 #제주도추천 #제주도추천코스 #제주도추천여행지 #제주도관광지 #제주도관광 #제주도관광지추천 #제주도여행스냅 #제주도여행하기좋은곳",2021-08-25,19,,"['#여보미안', '#여보도내맘에', '#여보사랑하는거알지', '#알라뷰', '#제주도목장', '#제주도가족스냅', '#제주말목장', '#제주도스냅', '#가족스냅', '#인생샷찍기', '#인생샷명소', '#인생사진찍기', '#제주도여행코스', '#제주도포토존', '#제주도포토스팟', '#제주도사진', '#제주도핫플레이스', '#제주도핫플', '#제주도여행사진', '#제주여행지', '#제주도여행지', '#제주도추천여행지', '#제주도추천', '#제주도추천코스', '#제주도추천여행지', '#제주도관광지', '#제주도관광', '#제주도관광지추천', '#제주도여행스냅', '#제주도여행하기좋은곳']"
제주 인생밥집⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕚 OPEN - 11:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🕕 CLOSED - 17:00⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀브레이크타임 없어요.예약은 받지 않고 오시는 순서대로 식사가능 하세요.싱싱한 해물과 신선한 야채로 그날 준비한 재료가 소진되면 조기마감 합니다. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🥣전복해물볶음밥 / 전복물회 / 전복딱새우장 정식⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀사는게니나노 ~ ♬인생밥집010-6501-5073주소는 제주시 한림읍 문교길6 ..⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🅿️ 무료 공영 주차장 위치!! .⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🚗 제주시 한림읍 한림리 1197-4🚘 제주시 한림읍 한림리 1198-3🚙 제주시 한림읍 한림리 943-9.걸어서 2분이내 거리에요~♡♡#제주금능해수욕장 #제주도 #제주도관광 #제주서귀포가볼만한곳 #제주도가볼만한곳 #제주날씨 #제주도날씨 #제주도펜션 #제주공항 #제주비행기 #제주도비행기 #제주맛집 #제주도맛집 #제주애월맛집 #강릉 #제주협재맛집 #제주한림맛집 #제주도애월맛집 #제주도성산맛집 #제주도협재맛집 #제주도한림맛집 #새별오름 #금오름 #비행기샷 #주변맛집 #내주변맛집 #오설록 #도두봉 #제주도해수욕장 #성산맛집,2021-08-25,저 좋아요를 눌러보세,,"['#제주금능해수욕장', '#제주도', '#제주도관광', '#제주서귀포가볼만한곳', '#제주도가볼만한곳', '#제주날씨', '#제주도날씨', '#제주도펜션', '#제주공항', '#제주비행기', '#제주도비행기', '#제주맛집', '#제주도맛집', '#제주애월맛집', '#강릉', '#제주협재맛집', '#제주한림맛집', '#제주도애월맛집', '#제주도성산맛집', '#제주도협재맛집', '#제주도한림맛집', '#새별오름', '#금오름', '#비행기샷', '#주변맛집', '#내주변맛집', '#오설록', '#도두봉', '#제주도해수욕장', '#성산맛집']"
