판매일자,판매처,상품명,카테고리,단가,수량,원가,매출,이익
2020-01-01,표준협회,벨트,헬스용품,64900,11,62950,713900,21450
2020-01-02,테크브루,하이패스,자동차용품,48100,17,46660,817700,24480
2020-01-02,멀티캠퍼스,후방카메라,자동차용품,50400,11,48380,554400,22220
2020-01-06,생산성본부,랜턴,캠핑용품,94600,12,89870,1135200,56760
2020-01-07,한경아카데미,천막,캠핑용품,78900,4,75740,315600,12640
2020-01-11,테크브루,침낭,캠핑용품,66000,4,58740,264000,29040
2020-01-18,멀티캠퍼스,헤드유닛,자동차용품,21800,9,20710,196200,9810
2020-01-24,생산성본부,랜턴,캠핑용품,94600,4,89870,378400,18920
2020-01-30,멀티캠퍼스,헤드유닛,자동차용품,21800,19,20710,414200,20710
2020-01-31,생산성본부,내비게이션,자동차용품,44500,18,42280,801000,39960
2020-02-06,한경아카데미,텐트,캠핑용품,94900,20,80660,1898000,284800
2020-02-06,표준협회,취사용품,캠핑용품,57800,1,49710,57800,8090
2020-02-06,테크브루,블랙박스,자동차용품,38600,3,35900,115800,8100
2020-02-08,표준협회,윤활방청제,자동차용품,57400,17,52810,975800,78030
2020-02-09,표준협회,랜턴,캠핑용품,94600,14,89870,1324400,66220
2020-02-15,한경아카데미,블랙박스,자동차용품,38600,18,35900,694800,48600
2020-02-16,테크브루,매트,캠핑용품,15200,19,14140,288800,20140
2020-02-17,한경아카데미,스텝퍼,헬스용품,35200,10,32030,352000,31700
2020-02-18,한경아카데미,타프,캠핑용품,86100,11,74050,947100,132550
2020-02-19,표준협회,핸즈프리,자동차용품,55300,13,50880,718900,57460
2020-03-02,표준협회,자동차TV,자동차용품,21500,16,18920,344000,41280
2020-03-07,생산성본부,방전매트,자동차용품,65500,3,57640,196500,23580
2020-03-09,표준협회,침낭,캠핑용품,66000,14,58740,924000,101640
2020-03-10,생산성본부,하이패스,자동차용품,48100,15,46660,721500,21600
2020-03-10,한경아카데미,후방카메라,자동차용품,50400,17,48380,856800,34340
2020-03-12,표준협회,헬스사이클,헬스용품,77100,2,69390,154200,15420
2020-03-16,멀티캠퍼스,아이스박스,캠핑용품,30400,11,28580,334400,20020
2020-03-22,테크브루,복근운동기구,헬스용품,10500,17,8920,178500,26860
2020-03-24,멀티캠퍼스,자동차TV,자동차용품,21500,5,18920,107500,12900
2020-03-28,표준협회,벨트,헬스용품,64900,8,62950,519200,15600
2020-04-02,표준협회,벨트,헬스용품,64900,19,62950,1233100,37050
2020-04-09,생산성본부,침낭,캠핑용품,66000,4,58740,264000,29040
2020-04-09,표준협회,윤활방청제,자동차용품,57400,8,52810,459200,36720
2020-04-13,테크브루,보조배터리,캠핑용품,75000,6,69000,450000,36000
2020-04-15,테크브루,방전매트,자동차용품,65500,18,57640,1179000,141480
2020-04-18,표준협회,위터저그,캠핑용품,75300,12,73790,903600,18120
2020-04-18,한경아카데미,트램펄린,헬스용품,95000,13,92150,1235000,37050
2020-04-24,멀티캠퍼스,거꾸리,헬스용품,33400,8,29390,267200,32080
2020-04-26,테크브루,하이패스,자동차용품,48100,1,46660,48100,1440
2020-04-28,표준협회,후방카메라,자동차용품,50400,17,48380,856800,34340
2020-05-04,테크브루,벨트,헬스용품,64900,5,62950,324500,9750
2020-05-05,테크브루,매트,캠핑용품,15200,7,14140,106400,7420
2020-05-09,테크브루,보조배터리,캠핑용품,75000,16,69000,1200000,96000
2020-05-12,표준협회,매트,캠핑용품,15200,16,14140,243200,16960
2020-05-15,표준협회,자동차TV,자동차용품,21500,2,18920,43000,5160
2020-05-26,한경아카데미,천막,캠핑용품,78900,5,75740,394500,15800
2020-05-27,표준협회,랜턴,캠핑용품,94600,7,89870,662200,33110
2020-05-27,테크브루,보조배터리,캠핑용품,75000,14,69000,1050000,84000
2020-05-30,한경아카데미,랜턴,캠핑용품,94600,11,89870,1040600,52030
2020-05-30,생산성본부,거꾸리,헬스용품,33400,19,29390,634600,76190
