,title,date,content
0,아이오닉 5 간단하게 시승 해봤어요,2021.08.18.,케이스라 아이오닉 5는 승차감이나 여타 다른 부분들이 테슬라랑 어떻게 다를까 하는 궁금증이 아이오닉 5를... 해보자면 아이오닉은 무려 자동 문손잡이 입니다 ...이건 너무 부럽습니다 ㅠ 차 잠그면 손잡이가 들어가고...
1,현대 아이오닉5 시승기 / 전기차 유저로 느낀 장단점 정리!,2021.04.24.,"현대 아이오닉5를 시승했습니다. 지난번 전시차를 보고, 도로 위에서 테스트카를 본 적은 있지만 제가 직접... 5. 서스펜션 세팅은 약간 느슨하게 서스펜션의 세팅이 참 궁금했습니다. 달려보기 전엔 알 수 없는..."
2,☰ 라이드나우 아이오닉5 시승 ☰,2021.08.22.,차서 아이오닉5만 남았더라구요.. ㅜㅡㅜ 아쉽지만 다음주 주말로 모델Y를 우선 예약해놓고 아이오닉5라도 타보고 싶어서 시승을 하게되었습니다 도로에서 자주 못봐서 그런지 처음에는 신기하였고 운전석에...
3,퀄리티높은 아이오닉5 신차패키지,2021.08.10.,"자 오늘 보게될 작업은 아이오닉5 신차패키지 작업을 살펴보도록 할게요- 뚜둔✨ 대구 째즈카오디오에서는... 테슬라의 엠비언트,방음,썬팅 등등 다양한 작업을 하다보니 아이오닉 신차패키지로 차량이 입고 되었을때도..."
4,아이오닉5 후측방 충돌방지보조(BCA) 옵션 ! 순정부품으로 정확한 튜닝 !,2021.08.18.,오늘 소개 해 드릴 작업은 아이오닉5 후측방 충돌방지보조 시공입니다. 현대자동차의 첫 전기차 전용... 오늘 작업 하게 되는 후측방 충돌방지보조 시스템은 주행보조 기능으로 아이오닉5 롱 레인지모델과 스탠다드 모델...
5,"아이오닉5 AWD 롱레인지, 전기차 주행거리에 대한 고민",2021.08.03.,충전시간의 번거로움은 둘째치더라도 완충시 최소 5~600km 는 되야 탈 수 있겠다는 계산이 섰어요. 그나마 아이오닉5 후륜전용 2WD 롱레인지 모델이라면 빌트인캠 옵션 없는 기준으로 제네시스 전동화 G80 처럼 430km 까지는...
6,아이오닉5 팬텀블랙펄 리스 진행하고 빠른출고까지!!!,4일 전,"안녕하세요 ~ 1 아이오닉5 팬텀블랙펄 리스 진행했습니다. 유대리님~~ 보조금 1200만원 받고 빠르게 출고까지 가능하다니 만족스럽네요 ㅎㅎ 유독 튀는 색상이 좋겠다 생각했는데, 화이트나 그레이는 많이 보여서 아이오닉5..."
7,아이오닉5 장기렌트 전기차 가격 알아보자,2021.08.19.,아이오닉5 장기렌트도 그런 이유로 관심을 갖고 찾고 계신분들이 계속 늘어나고 있습니다. 아이오닉5는 현대자동차에서 스타리아와 같이 멋지게 출시된 차량 입니다! 아직 출시 4달도 채 지나지 않았는데 벌써 1만대 판매를...
8,"현대 아이오닉5 전기차 세번째 만남, 계약 못한 이유",5일 전,여기저기 충전할수 있는곳이 많은 현대 아이오닉 5 입니다. 컵홀더 좋던데요. 리어램프. 요즘 나오는... [ 충전 정보 ] 배터리 용량 73kWh 급속 - DC콤보/완충 1시간 소요/충전소 9.8천개 완속 AC단상/완충 11시간/5.4만개...
9,아이오닉5 DSP앰프 튜닝 하면 소리가 얼마나 달라질까요?,2021.07.24.,아이오닉5 DSP 앰프 튜닝 전 후 비교 영상 아이오닉5 DSP 앰프 튜닝 후 달라진 음질 경험하기! 아이오닉5... 부식과 강성이 강한 자작나무가이드를 아이오닉 전용으로 직접 제작하여 단단하게 고정시켰습니다. 오랫동안...
10,현대 아이오닉5 전기차 이제 구매 결정을 내렸습니다.,2021.06.17.,오늘은 아이오닉5를 통해 과연 우리에게 전기차의 접근이 얼마나 현실화 되었는지를 살펴볼까 합니다. www.ioniqclub.com 현대 아이오닉5 모델은 현대기아차가 전기차의 흐름에서 새로운 플랫폼 시장 확보를 위해 만들어진 E...
11,"오니기 - 아이오닉5 출고, 전기차 입문",2021.08.03.,"2021.7.21 5km 출고 화이트 작년 11월즈음, 아이오닉5 접수가 시작되면 주문을 해달라고 지인에게 요청을... 9km/kWh, 주행거리: 401km 작업 틴팅: - 3M CM > 전면 50%, 1열 15%, 2열&후면 5% > 열차단률 70%, 90%, 90% -- 딜러서비스..."
12,현대 아이오닉5 충전하면서 본 쭉빠진 휠베이스,2021.08.09.,현대자동차 전기차 아이오닉5 시승차를 타봤습니다. 그런데 시승차가 배터리 전기가 너무 없어 시승하고... 조금이라도 충전하면서 차량 외부를 염탐하기로 했어요 일단 아이오닉5 충전부터 해보겠습니다. 전기차 충전을...
13,[시승기] '얻는 게 있으면 잃는 것도 있다' 아이오닉 5 4륜 모델,2021.07.05.,아이오닉 5 4륜구동 모델을 2시간 정도 타봤다. 2륜 대비 출력과 토크가 대폭 상승하면서 힘과 가속감이 비교할 수 없을 만큼 강력해졌다. 그러나 주행 거리가 31km(복합 기준)나 줄어든 건 뼈아프다....
14,아이오닉 5 이 옵션 꼭 추천합니다.,2021.08.01.,"::::아이오닉 5 이 옵션 선택할까?    5. 컴포트 I / II         컴포트 플러스 I / II 컴포트 I / II 옵션은 대부분 운전자 / 동승석에 관한 옵션이다. 익스클루시브에 선택이 가능하며 이 옵션은 컴포트 I 35만 원, 컴포트 II..."
15,아이오닉5 그래비티골드매트 출고가 안되니 리스로라도,4일 전,안녕하세요 이번에 아이오닉5 그래비티골드매트 리스로 계약진행하게 되어 후기작성합니다 올해 3월인가 ? 아이오닉5 차량 출시하고 나서 사전계약때 넣은 차량이 서울 보조금이 다떨어지는데도 불구하고...
16,현대 아이오닉 5 시승회 및 시승소감 아이오닉 5 외관 컬러 소개,2021.04.23.,드디어 아이오닉 5를 타봤습니다! 아이오닉 5 시승회가 열린 이곳은 하남 스타필드 야외 주차장 코로나19로... 충전하면서 보니 복합연비가 4.9km 도심은 5.5km 고속도로는 4.2km 1회 충전 주행거리는 401km로 나와 있군요....
17,현대자동차 순정PPF보호필름 6종패키지 아이오닉5 작업 후기,2일 전,이렇게 해서 아이오닉5 현대자동차순정PPF 6종패키지 작업을 마칩니다. 아이오닉차량 이외에도 모든 현대차나 기아차 수입차 PPF패턴 보유중으로 시공가능합니다. 더게러지 작업 및 예약 문의 : ***-****-****
18,아이오닉5 타보고 걍 530e로 버티기로,2021.08.18.,"530e 전기모드 매력에 전기차로 넘어가야하나 부푼 기대를 안고 겸사겸사 아이오닉5 4일간 타봤는데...... 전기차는 아이오닉5, 볼트 타봤는데... 배터리 용량 점점 커질수록 차 아래가 딴딴 묵직한게 느껴지는데, 위는..."
19,현대 아이오닉5 장기렌트 가격 대기 없이 바로 받자!,2021.08.13.,"기아 ev6가 그렇고 오늘 소개해드릴 아이오닉5가 그런 관심을 받고 있는 차량입니다. 그럼 여기서 박 군이 또... 기아 전기차의 경우 사전예약만 3만 대를 기록하면서 지금 주문 들어가면 1년은 대기해야 하고, 아닉 5 같은..."
20,아이오닉5 시승기,2021.07.04.,무엇이든 가능한 세상이라는 슬로건으로 런칭된 현대 아이오닉5 내연기관차는 수 없이 타보면서 어느정도... 건담 눈빛 같으면서도 아이오닉 브랜드를 본격적으로 시작하면서 아이덴티티 디자인인 파라메트릭 픽셀램프...
21,"아이오닉 5, 전기차 비대면 시승기(현대 드라이빙 라운지 전주)",19시간 전,"아이오닉 5 (IONIQ 5) 비대면 시승기, 현대 드라이빙 라운지 전주 ⓒ 달달부부, 홍이 안녕하세요!! 달달부부 홍이예요~~ 요즘 전기차, 친환경차에 대한 관심이 뜨겁죠? 저희도 2018년에 제주도에서 렌터카를 전기차로 타보고..."
22,강동 EV 스테이션 아이오닉5 시승,2021.08.07.,"편했습니다 아이오닉의 공인 전비(연비)는 대략 4.5~4.7Km/KWh 전후인데 시내주행에서는 때에 따라서 6까지도 나오긴 합니다. 하지만 20인치 타이어에, 무거운 차체로는 더 잘 나오기 힘들더군요 코나를 타면 시내에서..."
23,벤츠 EQC & 아이오닉5 단순 비교 / 전기차 충전,2021.08.21.,"벤츠 EQC 현대 아이오닉5 2wd 롱레인지 (4wd 롱레인지) 약 9,500만원 가격 약 5,500만원 304.0Kw 모터 최대출력 160Kw (225Kw) 759.0Nm 모터 최대토크 350Nm (605Nm) 309km 주행가능거리(1회 충전기준) 429km (370km) 80.0kWh 배터리..."
24,현대 아이오닉 5 AWD 전기차 시승기,2021.08.06.,전기차 아이오닉 5 AWD 시승기 시작합니다 아이오닉 5 AWD 모델의 외관 디자인은 트렁크 리드 라인에 HTRAC 배지가 더해진걸 제외하고는 2륜 구동 모델과 동일한 구성을 갖추고 있는데요 전반적인 생김새는 클래식한 직선...
25,아이오닉5 아이나비 QXD7000 블랙박스 썬팅 시공 후기,2021.08.19.,"하고, 아이오닉 보고나서 디자인이 너무 맘에 들어서 아이오닉으로 골라서 인수받았습니다. 차만 받으면 끝일 줄 알았는데, 이번에는 딜러분한테 맡기는 게 아니라 제가 직접 썬팅이나 블랙박스 등 해야 해서 이거..."
26,아이오닉 5가 GV60보단 모든면에서 좋아보입니다.,2021.08.23.,확실하게 공개된건 아니지만 일단 차체사이즈는 아이오닉5가 확실히 커보입니다. GV60이 전고가 좀 높아서 EQA처럼 SUV형태인줄알았는데 오히려 아이오닉5보다도 더 낮은 CUV형태로 보입니다. 그럴경우 아이오닉5보다...
27,자동차썬팅 추천 - 아이오닉5 유쉴드 어비스,2021.08.21.,아이오닉 5 에 대한 많은 이들의 평가 입니다. 물론 아이오닉 5 의 디자인에 대해 호불호가 많습니다. 다만 극호의 경향을 가진 분들의 경우 아이오닉5 에 적용된 이 디테일한 디자인들은 과함이 아닌 매력의 포인트가 되곤...
28,아이오닉5 롱레인지 AWD 급속충전 @국회의사당 충전소,2021.08.05.,특히 겨울철 운행이 많으신분이라면 아이오닉5 AWD를 선택하시면 좋을거 같습니다. 끝 #아이오닉5 #아이오닉 #아이오닉5awd #아이오닉awd #아이오닉5시승기 #아이오닉급속충전 #국회의사당충전소
